timestamp,PV.DC Power,BESS.DC Power,Battery Group 1.DC Power,Battery Group 2.DC Power,Battery Group 3.DC Power,Battery Group 4.DC Power,Inverter.Active Power,L2 7650 Meter.Active Power,OASIS POI.Active Power
="2015-03-02 00:00:00",36.9,-1.5,-0.5,-0.4,0.0,-0.6,34.7,,22.7
="2015-03-03 00:00:00",34.4,-1.5,0.0,-0.5,-0.6,-0.4,32.2,,20.6
="2015-03-04 00:00:00",3.8,-0.1,-0.0,0.0,0.0,-0.1,3.6,,-6.8
="2015-03-05 00:00:00",30.5,-1.5,-0.5,-0.5,-0.5,-0.0,28.5,,17.2
="2015-03-06 00:00:00",22.0,-0.9,-0.0,-0.4,0.0,-0.5,20.8,,9.6
="2015-03-07 00:00:00",0.0,0.0,0.0,0.0,0.0,0.0,0.0,,-9.9
="2015-03-08 00:00:00",0.0,0.0,0.0,0.0,0.0,0.0,0.0,,-9.3
="2015-03-09 01:00:00",39.3,-1.8,-0.2,-0.5,-0.6,-0.4,36.7,,26.0
="2015-03-10 01:00:00",28.8,-2.6,-0.5,-0.7,-0.7,-0.6,25.8,,14.0
="2015-03-11 01:00:00",0.7,-4.4,-0.4,-1.7,-1.3,-0.9,-4.2,,-14.6
="2015-03-12 01:00:00",19.3,-3.5,-0.6,-1.1,-0.9,-0.8,15.3,,6.2
="2015-03-13 01:00:00",25.8,-2.1,-0.3,-1.1,-0.5,-0.2,23.5,,15.3
="2015-03-14 01:00:00",0.0,0.0,0.0,0.0,0.0,0.0,0.0,,-7.3
="2015-03-15 01:00:00",0.0,0.0,0.0,0.0,0.0,0.0,0.0,,-7.6
="2015-03-16 01:00:00",35.5,-1.8,0.0,-0.7,-0.5,-0.7,33.5,,23.2
="2015-03-17 01:00:00",31.3,-1.4,-0.4,-0.4,-0.2,-0.4,29.6,,20.2
="2015-03-18 01:00:00",12.4,-1.1,1.3,-0.7,-0.7,-0.4,10.9,,1.2
="2015-03-19 01:00:00",6.2,-4.9,-2.1,-1.2,-0.8,-0.6,1.1,,-9.4
="2015-03-20 01:00:00",4.4,-2.6,-0.3,-1.0,-0.7,-0.5,1.4,,-8.2
="2015-03-21 01:00:00",0.0,0.0,0.0,0.0,0.0,0.0,0.0,,-7.3
="2015-03-22 01:00:00",0.0,0.0,0.0,0.0,0.0,0.0,0.0,,-8.2
="2015-03-23 01:00:00",15.5,-3.5,-0.5,-1.4,-0.8,-0.6,12.0,,0.0
="2015-03-24 01:00:00",26.2,-4.7,-0.5,-1.6,-1.2,-1.1,20.9,,7.2
="2015-03-25 01:00:00",-0.1,0.6,0.5,-0.3,0.1,0.4,-0.3,,-12.0
="2015-03-26 01:00:00",21.6,-10.0,-1.8,-3.2,-2.5,-2.3,11.4,,-0.3
="2015-03-27 01:00:00",12.9,-3.5,-0.5,-1.5,-0.7,-0.7,9.2,,0.1
="2015-03-28 01:00:00",0.0,0.0,0.0,0.0,0.0,0.0,0.0,,-6.4
="2015-03-29 01:00:00",0.0,0.0,0.0,0.0,0.0,0.0,0.0,,-7.5
="2015-03-30 01:00:00",9.8,0.3,0.4,0.0,-0.2,0.2,9.9,,-1.8
="2015-03-31 01:00:00",46.4,-7.6,-1.5,-2.4,-1.8,-1.6,38.1,,25.7
="2015-04-01 01:00:00",38.6,-5.6,-0.8,-1.8,-1.3,-1.4,32.3,,19.0
="2015-04-02 01:00:00",25.1,-4.6,-0.7,-1.8,-1.0,-0.9,19.7,,5.1
="2015-04-03 01:00:00",7.2,-1.1,0.2,-0.8,-0.4,-0.0,5.3,,-4.6
="2015-04-04 01:00:00",14.7,-3.6,-0.4,-1.3,-0.9,-0.8,10.3,,0.4
="2015-04-05 01:00:00",16.4,-5.3,-0.8,-2.1,-1.1,-1.1,10.4,,0.4
="2015-04-06 01:00:00",15.5,-4.5,-0.6,-1.6,-1.0,-1.0,10.3,,0.4
