timestamp,PV.DC Power,BESS.DC Power,Battery Group 1.DC Power,Battery Group 2.DC Power,Battery Group 3.DC Power,Battery Group 4.DC Power,Inverter.Active Power,L2 7650 Meter.Active Power,OASIS POI.Active Power
="2015-10-05 01:00:00",0.0,0.0,0.0,0.0,0.0,0.0,0.0,,-6.7
="2015-10-06 01:00:00",0.0,0.0,0.0,0.0,0.0,0.0,0.0,,-6.6
="2015-10-07 01:00:00",0.0,0.0,0.0,0.0,0.0,0.0,0.0,,-6.8
="2015-10-08 01:00:00",0.0,0.0,0.0,0.0,0.0,0.0,0.0,,-7.2
="2015-10-09 01:00:00",0.0,0.0,0.0,0.0,0.0,0.0,0.0,,-8.4
="2015-10-10 01:00:00",0.0,0.0,0.0,0.0,0.0,0.0,0.0,,-6.4
="2015-10-11 01:00:00",0.0,0.0,0.0,0.0,0.0,0.0,0.0,,-5.9
="2015-10-12 01:00:00",0.0,0.0,0.0,0.0,0.0,0.0,0.0,,-6.1
="2015-10-13 01:00:00",0.0,0.0,0.0,0.0,0.0,0.0,0.0,,-7.0
="2015-10-14 01:00:00",0.0,0.0,0.0,0.0,0.0,0.0,0.0,,-7.8
="2015-10-15 01:00:00",21.1,-7.6,-1.9,-1.9,-1.9,-1.8,13.5,,5.9
="2015-10-16 01:00:00",0.0,0.0,0.0,0.0,0.0,0.0,0.0,,-6.4
="2015-10-17 01:00:00",0.0,0.0,0.0,0.0,0.0,0.0,0.0,,-9.3
="2015-10-18 01:00:00",0.0,0.0,0.0,0.0,0.0,0.0,0.0,,-7.6
="2015-10-19 01:00:00",0.0,0.0,0.0,0.0,0.0,0.0,0.0,,-7.2
="2015-10-20 01:00:00",0.0,0.0,0.0,0.0,0.0,0.0,0.0,,-7.9
="2015-10-21 01:00:00",0.0,0.0,0.0,0.0,0.0,0.0,0.0,,-8.5
="2015-10-22 01:00:00",0.0,0.0,0.0,0.0,0.0,0.0,0.0,,-8.0
="2015-10-23 01:00:00",0.0,0.0,0.0,0.0,0.0,0.0,0.0,,-7.6
="2015-10-24 01:00:00",0.0,0.0,0.0,0.0,0.0,0.0,0.0,,-6.4
="2015-10-25 01:00:00",0.0,0.0,0.0,0.0,0.0,0.0,0.0,,-5.9
="2015-10-26 01:00:00",0.0,0.0,0.0,0.0,0.0,0.0,0.0,,-6.8
="2015-10-27 01:00:00",0.0,0.0,0.0,0.0,0.0,0.0,0.0,,-6.4
="2015-10-28 01:00:00",0.0,0.0,0.0,0.0,0.0,0.0,0.0,,-6.0
="2015-10-29 01:00:00",0.0,0.0,0.0,0.0,0.0,0.0,0.0,,-6.5
="2015-10-30 01:00:00",0.0,0.0,0.0,0.0,0.0,0.0,0.0,,-7.0
="2015-10-31 01:00:00",0.0,0.0,0.0,0.0,0.0,0.0,0.0,,-6.7
="2015-11-01 01:00:00",0.0,0.0,0.0,0.0,0.0,0.0,0.0,,-7.1
="2015-11-02 00:00:00",0.0,0.0,0.0,0.0,0.0,0.0,0.0,,-8.6
="2015-11-03 00:00:00",0.0,0.0,0.0,0.0,0.0,0.0,0.0,,-6.8
="2015-11-04 00:00:00",0.0,0.0,0.0,0.0,0.0,0.0,0.0,,-8.0
="2015-11-05 00:00:00",0.0,0.0,0.0,0.0,0.0,0.0,0.0,,-7.8
="2015-11-06 00:00:00",0.8,4.7,1.2,1.2,1.2,1.2,5.2,,-2.9
="2015-11-07 00:00:00",0.0,0.0,0.0,0.0,0.0,0.0,0.0,,-6.8
="2015-11-08 00:00:00",0.0,0.0,0.0,0.0,0.0,0.0,0.0,,-6.3
="2015-11-09 00:00:00",0.0,0.0,0.0,0.0,0.0,0.0,0.0,,-7.8
="2015-11-10 00:00:00",0.0,0.0,0.0,0.0,0.0,0.0,0.0,,-8.7
="2015-11-11 00:00:00",0.0,0.0,0.0,0.0,0.0,0.0,0.0,,-7.6
="2015-11-12 00:00:00",0.0,0.0,0.0,0.0,0.0,0.0,0.0,,-8.3
="2015-11-13 00:00:00",0.0,0.0,0.0,0.0,0.0,0.0,0.0,,-6.5
="2015-11-14 00:00:00",0.0,0.0,0.0,0.0,0.0,0.0,0.0,,-9.5
="2015-11-15 00:00:00",0.0,0.0,0.0,0.0,0.0,0.0,0.0,,-9.6
="2015-11-16 00:00:00",0.0,0.0,0.0,0.0,0.0,0.0,0.0,,-11.4
="2015-11-17 00:00:00",0.0,0.0,0.0,0.0,0.0,0.0,0.0,,-10.7
="2015-11-18 00:00:00",0.0,0.0,0.0,0.0,0.0,0.0,0.0,,-14.5
="2015-11-19 00:00:00",0.0,0.0,0.0,0.0,0.0,0.0,0.0,,-11.0
="2015-11-20 00:00:00",0.0,0.0,0.0,0.0,0.0,0.0,0.0,,-14.8
="2015-11-21 00:00:00",0.0,0.0,0.0,0.0,0.0,0.0,0.0,,-12.7
="2015-11-22 00:00:00",0.0,0.0,0.0,0.0,0.0,0.0,0.0,,-13.0
="2015-11-23 00:00:00",0.0,0.0,0.0,0.0,0.0,0.0,0.0,,-11.7
="2015-11-24 00:00:00",0.5,0.3,0.1,0.1,0.1,0.1,0.7,,-12.6
="2015-11-25 00:00:00",17.9,-13.1,-3.0,-3.5,-3.2,-3.2,3.4,,-12.3
="2015-11-26 00:00:00",17.1,-2.2,0.0,-1.2,-0.3,-0.5,11.8,,-6.3
="2015-11-27 00:00:00",17.0,-1.9,0.1,-0.8,-0.5,-0.5,12.0,,-3.7
="2015-11-28 00:00:00",15.9,-2.8,-0.4,-1.0,-0.6,-0.6,10.2,,-10.3
="2015-11-29 00:00:00",16.3,-2.1,-0.1,-1.0,-0.4,-0.5,11.1,,-3.5
="2015-11-30 00:00:00",16.4,-2.3,0.0,-1.1,-0.5,-0.6,11.0,,-4.3
="2015-12-01 00:00:00",2.8,-2.5,-0.3,-0.9,-0.5,-0.5,-2.6,,-15.1
="2015-12-02 00:00:00",-0.1,-2.8,-0.4,-1.0,-0.5,-0.6,-6.0,,-18.6
="2015-12-03 00:00:00",0.6,-2.9,-0.3,-1.1,-0.6,-0.7,-5.1,,-18.0
="2015-12-04 00:00:00",4.3,-2.5,-0.1,-1.0,-0.5,-0.6,-1.0,,-15.4
="2015-12-05 00:00:00",-0.1,-2.1,-0.1,-0.9,-0.4,-0.5,-5.3,,-21.1
="2015-12-06 00:00:00",-0.1,-2.3,-0.3,-0.8,-0.5,-0.5,-5.5,,-17.2
="2015-12-07 00:00:00",-0.1,-2.6,-0.1,-1.1,-0.5,-0.6,-5.8,,-18.6
="2015-12-08 00:00:00",-0.1,-2.7,-0.4,-0.9,-0.5,-0.5,-5.8,,-19.0
="2015-12-09 00:00:00",9.8,-2.4,-0.2,-1.0,-0.5,-0.5,4.4,,-8.1
="2015-12-10 00:00:00",0.1,-4.1,-0.3,-2.1,-0.6,-0.9,-6.9,,-21.0
="2015-12-11 00:00:00",14.7,-2.1,-0.1,-0.9,-0.6,-0.4,9.4,,-4.7
="2015-12-12 00:00:00",-0.0,-2.0,-0.2,-0.9,-0.3,-0.4,-5.4,,-18.7
="2015-12-13 00:00:00",-0.0,-2.3,-0.0,-0.9,-0.6,-0.6,-5.3,,-19.5
="2015-12-14 00:00:00",1.0,-2.2,-0.3,-1.2,-0.3,-0.4,-3.5,,-18.5
="2015-12-15 00:00:00",-0.0,-2.4,-0.3,-0.7,-0.5,-0.6,-5.3,,-16.0
="2015-12-16 00:00:00",14.0,-2.6,-0.2,-1.0,-0.5,-0.6,8.5,,-9.7
="2015-12-17 00:00:00",-0.1,-2.9,-0.4,-1.0,-0.6,-0.6,-5.9,,-20.9
="2015-12-18 00:00:00",1.6,-2.4,-0.1,-1.0,-0.5,-0.5,-3.7,,-19.1
="2015-12-19 00:00:00",-0.1,6.1,1.8,1.5,1.6,1.6,2.9,,-13.3
="2015-12-20 00:00:00",-0.1,-1.2,-0.2,-0.7,-0.2,-0.2,-4.1,,-18.7
="2015-12-21 00:00:00",-0.1,-13.9,-2.5,-4.7,-2.9,-3.5,-16.6,,-31.1
="2015-12-22 00:00:00",3.5,-1.6,-0.2,-0.7,-0.4,-0.3,-1.1,,-17.8
="2015-12-23 00:00:00",-0.0,-2.5,-0.3,-0.9,-0.6,-0.6,-5.7,,-20.8
="2015-12-24 00:00:00",-0.1,-1.9,-0.0,-0.9,-0.4,-0.4,-5.1,,-21.2
="2015-12-25 00:00:00",5.1,-2.3,-0.1,-1.0,-0.5,-0.5,-0.2,,-16.9
="2015-12-26 00:00:00",-0.0,-2.3,-0.2,-1.0,-0.4,-0.5,-5.4,,-24.2
="2015-12-27 00:00:00",-0.0,-2.5,-0.2,-1.0,-0.5,-0.6,-5.6,,-21.9
="2015-12-28 00:00:00",5.2,-2.3,-0.3,-0.9,-0.4,-0.4,-0.1,,-15.5
="2015-12-29 00:00:00",14.5,-2.4,-0.1,-1.0,-0.5,-0.6,9.1,,-8.0
="2015-12-30 00:00:00",16.2,-3.2,-0.2,-1.7,-0.4,-0.7,10.0,,-7.4
="2015-12-31 00:00:00",15.1,-1.5,-0.1,-0.5,-0.4,-0.3,10.5,,-8.5
="2016-01-01 00:00:00",16.3,-2.2,-0.2,-0.8,-0.5,-0.5,11.1,,-7.0
="2016-01-02 00:00:00",-0.1,-2.6,-0.2,-1.0,-0.5,-0.6,-5.7,,-27.2
="2016-01-03 00:00:00",5.0,6.0,1.9,0.7,1.9,1.9,8.1,,-8.2
="2016-01-04 00:00:00",7.3,-10.3,-2.3,-2.7,-2.5,-2.5,-5.6,,-22.5
="2016-01-05 00:00:00",-0.1,-3.2,-0.3,-1.0,-0.7,-1.0,-6.2,,-23.8
="2016-01-06 00:00:00",2.1,-5.9,-0.6,-2.5,-0.9,-1.1,-6.8,,-20.6
="2016-01-07 00:00:00",-0.1,-2.2,-0.1,-0.8,-0.5,-0.6,-5.1,,-19.8
="2016-01-08 00:00:00",2.1,-3.3,-0.2,-1.4,-0.6,-0.8,-3.8,,-20.9
="2016-01-09 00:00:00",-0.0,-1.0,-0.0,-0.4,-0.2,-0.3,-2.3,,-16.9
="2016-01-10 00:00:00",0.0,0.0,0.0,0.0,0.0,0.0,0.0,,-14.1
="2016-01-11 00:00:00",1.1,-1.5,-0.2,-0.6,-0.2,-0.4,-1.7,,-19.6
="2016-01-12 00:00:00",-0.1,-2.0,-0.0,-0.9,-0.4,-0.6,-5.0,,-19.9
="2016-01-13 00:00:00",-0.1,-2.8,-0.5,-0.9,-0.6,-0.6,-5.7,,-23.9
="2016-01-14 00:00:00",11.5,-2.4,-0.1,-1.0,-0.5,-0.5,6.3,,-10.3
="2016-01-15 00:00:00",-0.1,-2.2,-0.2,-0.9,-0.4,-0.5,-5.3,,-22.6
="2016-01-16 00:00:00",-0.0,-2.1,-0.1,-0.9,-0.5,-0.5,-5.3,,-19.1
="2016-01-17 00:00:00",-0.1,-2.2,-0.3,-0.8,-0.4,-0.5,-5.2,,-20.1
="2016-01-18 00:00:00",3.9,-2.5,-0.2,-1.0,-0.5,-0.6,-1.3,,-14.7
="2016-01-19 00:00:00",6.5,-3.3,-0.3,-1.3,-0.6,-0.8,0.8,,-12.7
="2016-01-20 00:00:00",3.0,-2.2,-0.3,-0.7,-0.5,-0.5,-1.8,,-13.4
="2016-01-21 00:00:00",-0.1,8.2,2.7,1.4,2.9,1.4,5.1,,-7.2
="2016-01-22 00:00:00",7.3,-14.8,-3.3,-4.3,-4.1,-2.9,-9.9,,-23.8
="2016-01-23 00:00:00",1.4,-2.1,-0.4,-0.6,-0.4,-0.5,-3.5,,-19.1
="2016-01-24 00:00:00",9.4,-1.7,-0.2,-0.6,-0.4,-0.4,4.6,,-7.6
="2016-01-25 00:00:00",3.5,-2.8,-0.4,-0.9,-0.6,-0.6,-2.2,,-16.9
="2016-01-26 00:00:00",-0.1,-3.0,-0.3,-1.0,-0.6,-0.6,-6.0,,-20.7
="2016-01-27 00:00:00",-0.0,-1.6,-0.2,-0.4,-0.3,-0.4,-3.7,,-14.1
="2016-01-28 00:00:00",8.6,-3.6,-0.1,-2.3,-0.5,-0.6,3.9,,-7.3
="2016-01-29 00:00:00",-0.0,-2.6,-0.2,-0.9,-0.5,-0.7,-5.6,,-20.8
="2016-01-30 00:00:00",-0.0,-2.5,-0.2,-0.9,-0.6,-0.6,-5.6,,-22.2
="2016-01-31 00:00:00",-0.0,-2.1,-0.3,-0.9,-0.3,-0.4,-5.2,,-19.0
="2016-02-01 00:00:00",8.3,-2.7,-0.1,-1.1,-0.7,-0.5,2.8,,-12.0
="2016-02-02 00:00:00",5.3,-2.1,-0.3,-0.8,-0.3,-0.4,0.2,,-15.2
="2016-02-03 00:00:00",0.4,-2.8,-0.1,-1.0,-0.6,-0.7,-5.2,,-19.7
="2016-02-04 00:00:00",-0.1,-3.1,-0.5,-0.9,-0.7,-0.7,-6.0,,-21.3
="2016-02-05 00:00:00",-0.1,-2.4,-0.1,-1.1,-0.4,-0.5,-5.5,,-19.9
="2016-02-06 00:00:00",10.1,-2.1,-0.1,-1.0,-0.4,-0.4,5.1,,-7.6
="2016-02-07 00:00:00",-0.0,-2.2,-0.3,-0.8,-0.4,-0.5,-5.3,,-17.3
="2016-02-08 00:00:00",25.9,-2.5,-0.3,-1.0,-0.5,-0.6,20.5,,9.4
="2016-02-09 00:00:00",25.5,-1.8,-0.2,-0.6,-0.4,-0.4,20.8,,7.2
="2016-02-10 00:00:00",4.2,-3.8,-0.3,-1.6,-0.7,-1.0,-2.3,,-15.4
="2016-02-11 00:00:00",1.4,-2.5,-0.4,-0.8,-0.5,-0.5,-3.8,,-16.4
="2016-02-12 00:00:00",16.2,-2.4,-0.3,-0.9,-0.5,-0.5,11.1,,-2.3
="2016-02-13 00:00:00",-0.1,-2.4,-0.2,-1.1,-0.4,-0.6,-5.6,,-21.9
="2016-02-14 00:00:00",-0.1,-2.6,-0.3,-0.9,-0.6,-0.6,-5.6,,-18.1
="2016-02-15 00:00:00",0.0,-3.9,-0.3,-2.4,-0.6,-0.6,-5.8,,-17.8
="2016-02-16 00:00:00",18.6,-2.3,-0.3,-0.9,-0.5,-0.5,13.7,,0.9
="2016-02-17 00:00:00",5.4,-2.9,-0.2,-1.0,-0.7,-0.7,0.1,,-11.8
="2016-02-18 00:00:00",4.0,-3.3,-0.5,-1.3,-0.6,-0.5,-1.7,,-12.4
="2016-02-19 00:00:00",-0.1,-2.8,-0.3,-0.9,-0.6,-0.6,-5.5,,-17.0
="2016-02-20 00:00:00",23.3,-2.4,-0.1,-1.0,-0.6,-0.6,18.2,,3.2
="2016-02-21 00:00:00",5.0,-2.4,-0.3,-0.9,-0.5,-0.5,-0.0,,-13.8
="2016-02-22 00:00:00",19.4,-2.6,-0.2,-1.1,-0.5,-0.6,14.2,,-0.4
="2016-02-23 00:00:00",32.3,-2.3,-0.3,-0.9,-0.5,-0.5,27.1,,13.7
="2016-02-24 00:00:00",25.6,-2.8,-0.2,-1.1,-0.6,-0.7,20.2,,6.8
="2016-02-25 00:00:00",27.9,-1.6,-0.3,-0.6,-0.3,-0.3,24.4,,11.6
="2016-02-26 00:00:00",0.0,0.0,0.0,0.0,0.0,0.0,0.0,,-8.8
="2016-02-27 00:00:00",0.0,0.0,0.0,0.0,0.0,0.0,0.0,,-10.2
="2016-02-28 00:00:00",0.0,0.0,0.0,0.0,0.0,0.0,0.0,,-8.7
="2016-02-29 00:00:00",14.3,-3.6,-0.2,-1.8,-0.5,-0.9,9.2,,-1.8
="2016-03-01 00:00:00",0.8,-2.7,-0.6,-0.7,-0.6,-0.4,-4.6,,-20.1
="2016-03-02 00:00:00",10.8,-2.1,0.0,-1.0,-0.6,-0.5,5.9,,-9.9
="2016-03-03 00:00:00",13.7,-3.1,-0.6,-0.8,-0.6,-0.7,8.3,,-2.3
="2016-03-04 00:00:00",3.0,-2.8,-0.1,-1.3,-0.7,-0.5,-0.8,,-13.8
="2016-03-05 00:00:00",23.6,-3.2,-0.3,-1.1,-1.0,-0.7,18.8,,7.0
="2016-03-06 00:00:00",14.9,-2.8,-0.4,-0.9,-0.9,-0.6,9.9,,-2.1
="2016-03-07 00:00:00",6.5,4.7,1.4,1.1,1.2,1.3,9.2,,-4.2
="2016-03-08 00:00:00",4.0,-10.8,-2.1,-3.0,-3.0,-2.6,-8.9,,-20.0
="2016-03-09 00:00:00",0.0,1.2,0.6,0.1,0.2,0.4,-1.2,,-11.9
="2016-03-10 00:00:00",0.8,-7.0,-0.9,-2.5,-2.1,-1.3,-8.3,,-20.2
="2016-03-11 00:00:00",11.4,-2.0,-0.1,-0.7,-0.6,-0.5,8.0,,-5.0
="2016-03-12 00:00:00",14.8,-3.0,-0.4,-0.9,-0.9,-0.6,9.6,,-4.4
="2016-03-13 00:00:00",-0.1,-3.2,-0.4,-1.0,-1.0,-0.7,-5.5,,-19.4
="2016-03-14 01:00:00",13.9,-2.8,-0.1,-1.0,-0.9,-0.6,9.0,,-3.3
="2016-03-15 01:00:00",15.4,-3.1,-0.3,-1.0,-0.9,-0.6,10.2,,0.2
="2016-03-16 01:00:00",39.5,-3.1,-0.3,-1.0,-0.9,-0.7,34.0,,20.6
="2016-03-17 01:00:00",44.8,-3.3,-0.4,-1.0,-0.9,-0.7,39.2,,26.2
="2016-03-18 01:00:00",28.1,-3.4,-0.1,-1.6,-1.0,-0.6,24.3,,13.5
="2016-03-19 01:00:00",0.0,0.0,0.0,0.0,0.0,0.0,0.0,,-9.3
="2016-03-20 01:00:00",0.0,0.0,0.0,0.0,0.0,0.0,0.0,,-8.3
="2016-03-21 01:00:00",13.2,-2.3,-0.2,-0.9,-0.6,-0.5,9.8,,0.8
="2016-03-22 01:00:00",26.0,-3.0,-0.3,-1.0,-0.9,-0.7,21.1,,10.1
="2016-03-23 01:00:00",-0.1,-3.0,-0.5,-0.9,-0.9,-0.6,-5.4,,-20.9
="2016-03-24 01:00:00",13.0,-2.8,-0.3,-0.9,-0.9,-0.6,8.2,,-5.3
="2016-03-25 01:00:00",17.1,-2.7,0.0,-1.0,-0.9,-0.7,12.6,,1.5
="2016-03-26 01:00:00",34.8,-2.6,-0.5,-0.7,-0.7,-0.5,30.9,,17.8
="2016-03-27 01:00:00",0.0,0.0,0.0,0.0,0.0,0.0,0.0,,-10.2
="2016-03-28 01:00:00",0.0,0.0,0.0,0.0,0.0,0.0,0.0,,-8.0
="2016-03-29 01:00:00",44.8,-3.9,-0.5,-1.4,-1.2,-0.7,39.9,,28.3
="2016-03-30 01:00:00",48.1,-3.3,-0.3,-1.0,-1.0,-0.8,42.9,,30.6
="2016-03-31 01:00:00",49.4,-2.3,1.2,-1.1,-1.0,-1.0,45.3,,31.6
="2016-04-01 01:00:00",49.4,-4.3,-1.3,-1.0,-1.0,-0.8,43.3,,30.3
="2016-04-02 01:00:00",49.4,-2.2,0.0,-0.7,-0.7,-0.6,45.1,,32.7
="2016-04-03 01:00:00",35.3,0.5,0.0,0.2,0.2,0.3,33.9,,23.8
="2016-04-04 01:00:00",48.1,-8.1,-0.7,-2.5,-2.3,-2.2,38.3,,27.9
="2016-04-05 01:00:00",3.0,-3.6,-0.6,-1.0,-1.0,-0.9,-2.6,,-16.1
="2016-04-06 01:00:00",32.0,-3.3,-0.2,-1.1,-1.1,-0.8,26.7,,13.1
="2016-04-07 01:00:00",49.8,-3.3,-0.4,-1.0,-0.9,-0.8,44.5,,31.1
="2016-04-08 01:00:00",46.4,-4.7,-0.2,-1.8,-1.4,-1.0,39.7,,26.0
="2016-04-09 01:00:00",51.5,-1.7,-0.4,-0.4,-0.4,-0.4,47.2,,35.1
="2016-04-10 01:00:00",29.7,-5.0,-0.5,-1.6,-1.5,-1.1,22.9,,11.2
="2016-04-11 01:00:00",22.4,-2.2,-0.4,-0.6,-0.6,-0.4,19.2,,9.8
="2016-04-12 01:00:00",14.3,-3.6,-0.3,-1.1,-1.1,-0.8,8.8,,-4.2
="2016-04-13 01:00:00",28.1,-3.4,-0.5,-1.1,-1.1,-0.6,22.7,,8.1
="2016-04-14 01:00:00",33.7,-2.6,-0.3,-0.8,-0.8,-0.6,29.1,,16.6
="2016-04-15 01:00:00",21.2,-3.0,-0.4,-0.9,-0.8,-0.7,16.3,,3.3
="2016-04-16 01:00:00",28.2,-3.1,-0.2,-1.1,-1.0,-0.8,23.1,,12.1
="2016-04-17 01:00:00",45.3,-3.1,-0.5,-0.9,-0.8,-0.7,40.1,,29.3
="2016-04-18 01:00:00",29.8,-5.3,-0.6,-2.0,-1.7,-1.0,22.9,,13.4
="2016-04-19 01:00:00",30.6,-3.6,-0.3,-1.1,-1.0,-0.9,25.5,,13.8
="2016-04-20 01:00:00",35.0,-3.8,-0.4,-1.2,-1.3,-0.9,29.6,,18.0
="2016-04-21 01:00:00",38.7,-3.4,-0.5,-0.9,-1.1,-0.7,33.6,,23.1
="2016-04-22 01:00:00",11.7,-1.3,-0.3,-0.4,-0.2,-0.1,9.4,,-2.6
="2016-04-23 01:00:00",0.0,0.0,0.0,0.0,0.0,0.0,0.0,,-9.4
="2016-04-24 01:00:00",0.0,0.0,0.0,0.0,0.0,0.0,0.0,,-8.6
="2016-04-25 01:00:00",49.0,-3.2,-0.5,-0.8,-0.9,-0.8,44.4,,34.4
="2016-04-26 01:00:00",49.0,-3.3,-0.4,-1.0,-1.0,-0.8,43.3,,31.5
="2016-04-27 01:00:00",49.5,-3.3,-0.4,-1.0,-1.0,-0.8,43.7,,33.8
="2016-04-28 01:00:00",42.4,-3.4,-0.4,-1.0,-1.0,-0.8,36.8,,26.0
="2016-04-29 01:00:00",41.9,-3.7,-0.5,-1.1,-1.0,-0.9,36.2,,24.6
="2016-04-30 01:00:00",54.9,-3.6,-0.4,-1.1,-1.1,-0.8,49.1,,38.0
="2016-05-01 01:00:00",60.1,-3.2,-0.5,-0.9,-0.9,-0.8,54.7,,41.9
="2016-05-02 01:00:00",33.8,-5.6,-0.5,-2.0,-1.8,-1.2,26.9,,15.6
="2016-05-03 01:00:00",43.5,-1.7,-0.3,-0.5,-0.5,-0.5,40.3,,30.7
="2016-05-04 01:00:00",20.4,-6.0,-0.9,-1.6,-1.6,-1.3,12.3,,0.3
="2016-05-05 01:00:00",49.0,0.0,-0.0,0.0,0.0,0.0,46.6,,34.3
="2016-05-06 01:00:00",59.3,-4.0,-0.9,-1.5,-1.5,0.0,52.8,,39.3
="2016-05-07 01:00:00",54.6,-0.0,-0.0,0.0,-0.0,0.0,52.1,,39.7
="2016-05-08 01:00:00",50.5,0.0,0.0,0.0,0.0,0.0,48.2,,39.0
="2016-05-09 01:00:00",58.6,-4.4,-0.9,-1.2,-1.2,-0.9,51.6,,40.3
="2016-05-10 01:00:00",57.7,-0.0,-0.0,0.0,0.0,0.0,55.1,,42.7
="2016-05-11 01:00:00",28.5,-6.7,-1.0,-2.8,-2.8,0.0,19.9,,9.9
="2016-05-12 01:00:00",56.6,-0.0,-0.0,0.0,0.0,0.0,53.9,,41.6
="2016-05-13 01:00:00",50.1,-5.7,-0.9,-2.3,-2.3,0.0,42.8,,31.4
="2016-05-14 01:00:00",51.9,-3.7,-0.4,-1.9,-1.3,0.0,46.6,,36.2
="2016-05-15 01:00:00",19.9,-2.8,-0.5,-1.1,-1.0,0.0,15.3,,5.0
="2016-05-16 01:00:00",12.3,-3.2,-0.5,-1.2,-1.1,0.0,7.4,,-2.6
="2016-05-17 01:00:00",44.9,-3.2,-0.5,-1.3,-1.2,0.0,39.4,,27.4
="2016-05-18 01:00:00",30.1,-3.0,-0.5,-1.2,-1.2,0.0,25.0,,13.7
="2016-05-19 01:00:00",29.1,-2.5,-0.6,-0.9,-0.8,0.0,24.6,,13.1
="2016-05-20 01:00:00",52.3,-2.7,-0.4,-1.0,-0.9,0.0,47.3,,34.5
="2016-05-21 01:00:00",38.5,-2.9,-0.5,-1.1,-1.1,0.0,33.3,,21.3
="2016-05-22 01:00:00",20.2,-2.9,-0.4,-1.1,-1.1,0.0,15.4,,5.7
="2016-05-23 01:00:00",12.6,-2.9,-0.5,-1.1,-0.9,0.0,7.8,,-2.3
="2016-05-24 01:00:00",23.9,-5.6,-1.5,-1.9,-1.9,0.0,16.5,,4.8
="2016-05-25 01:00:00",47.1,-2.8,-0.3,-1.1,-1.0,0.0,42.1,,31.3
="2016-05-26 01:00:00",-0.0,-4.0,-0.7,-1.6,-1.4,0.0,-6.6,,-17.3
="2016-05-27 01:00:00",29.2,-2.4,-0.4,-1.0,-0.9,0.0,25.4,,15.3
="2016-05-28 01:00:00",0.0,0.0,0.0,0.0,0.0,0.0,0.0,,-9.5
="2016-05-29 01:00:00",0.0,0.0,0.0,0.0,0.0,0.0,0.0,,-8.0
="2016-05-30 01:00:00",58.0,-4.1,-0.5,-1.1,-1.1,-1.3,52.6,,41.2
="2016-05-31 01:00:00",43.9,-3.4,-0.4,-1.0,-1.0,-0.9,38.6,,27.7
="2016-06-01 01:00:00",38.9,-3.1,-0.4,-0.9,-1.0,-0.7,33.8,,22.8
="2016-06-02 01:00:00",37.3,-3.6,-0.6,-1.0,-1.0,-0.8,32.0,,22.1
="2016-06-03 01:00:00",45.7,-3.6,-0.5,-1.0,-1.0,-0.9,40.5,,29.8
="2016-06-04 01:00:00",31.9,-3.8,-0.3,-1.3,-1.3,-0.8,26.7,,16.9
="2016-06-05 01:00:00",21.4,-2.6,-0.6,-0.6,-0.7,-0.6,17.9,,7.6
="2016-06-06 01:00:00",30.7,-2.6,-0.4,-0.8,-0.8,-0.6,27.1,,16.3
="2016-06-07 01:00:00",38.0,-3.5,-0.6,-1.0,-1.1,-0.7,33.4,,22.4
="2016-06-08 01:00:00",30.8,-3.9,-0.4,-1.2,-1.1,-0.9,25.7,,14.2
="2016-06-09 01:00:00",39.9,-3.6,-0.7,-1.0,-1.0,-0.8,34.8,,24.2
="2016-06-10 01:00:00",33.4,-3.3,-0.4,-1.0,-1.0,-0.8,28.5,,16.8
="2016-06-11 01:00:00",16.8,-3.9,-0.5,-1.1,-1.1,-0.9,11.5,,-1.4
="2016-06-12 01:00:00",44.4,-3.3,-0.5,-0.9,-0.9,-0.7,39.3,,29.2
="2016-06-13 01:00:00",38.3,-3.6,-0.4,-1.1,-1.0,-0.8,32.8,,22.0
="2016-06-14 01:00:00",17.9,-4.0,-0.4,-1.1,-1.1,-1.0,12.3,,1.9
="2016-06-15 01:00:00",42.6,-3.7,-0.6,-1.0,-1.0,-0.8,37.1,,25.4
="2016-06-16 01:00:00",51.5,-3.8,-0.5,-1.1,-1.0,-0.9,45.9,,35.4
="2016-06-17 01:00:00",59.9,-5.6,-0.5,-2.1,-1.8,-1.1,52.4,,40.6
="2016-06-18 01:00:00",10.8,-3.3,-0.6,-0.9,-0.8,-0.8,6.1,,-4.7
="2016-06-19 01:00:00",37.3,-3.3,-0.4,-1.0,-1.0,-0.8,32.5,,22.6
="2016-06-20 01:00:00",42.2,-3.8,-0.5,-1.3,-1.3,-0.8,36.7,,25.6
="2016-06-21 01:00:00",27.2,-3.8,-0.6,-1.0,-1.0,-0.8,22.0,,9.9
="2016-06-22 01:00:00",14.2,-3.2,-0.3,-1.1,-1.1,-0.7,9.8,,-0.4
="2016-06-23 01:00:00",13.8,-3.3,-0.5,-0.9,-0.8,-0.8,9.0,,-1.7
="2016-06-24 01:00:00",20.3,-3.0,-0.5,-0.8,-0.8,-0.7,16.1,,2.3
="2016-06-25 01:00:00",0.0,0.0,0.0,0.0,0.0,0.0,0.0,,-12.2
="2016-06-26 01:00:00",0.0,0.0,0.0,0.0,0.0,0.0,0.0,,-10.8
="2016-06-27 01:00:00",80.4,-4.7,-0.7,-1.4,-1.4,-1.0,74.1,,61.6
="2016-06-28 01:00:00",21.2,-2.0,-0.4,-0.5,-0.5,-0.5,18.3,,7.2
="2016-06-29 01:00:00",47.6,-3.0,-0.3,-1.0,-1.1,-0.6,43.7,,32.8
